n,avg_time
2,0.000160603
3,0.000222153
4,0.000336495
5,0.000369032
6,0.000439054
7,0.000506577
8,0.000582587
9,0.00067277
10,0.000719185
11,0.000780831
12,0.000849061
13,0.000940155
14,0.000992218
15,0.001065623
16,0.001180274
17,0.001262419
18,0.001339228
19,0.001390296
20,0.00144211
21,0.001538025
22,0.001596067
23,0.001673734
24,0.001727104
25,0.001778663
26,0.001855117
27,0.001960711
28,0.002041439
29,0.002129438
30,0.002188765
31,0.002243443
32,0.002270546
33,0.002309336
34,0.002262987
35,0.002353223
36,0.002328318
37,0.00235431
38,0.002370684
39,0.002357421
40,0.002320897
41,0.002326295
42,0.002343247
43,0.002386957
44,0.002422114
45,0.002444837
46,0.002408136
47,0.002455031
48,0.002481743
49,0.002462339
50,0.002457854
