n,avg_time
2,5.25E-07
3,5.42E-07
4,5.14E-07
5,5.37E-07
6,5.09E-07
7,5.27E-07
8,5.40E-07
9,5.84E-07
10,5.98E-07
11,6.29E-07
12,7.04E-07
13,7.36E-07
14,7.40E-07
15,8.26E-07
16,7.07E-07
17,8.51E-07
18,8.87E-07
19,9.84E-07
20,8.95E-07
21,9.55E-07
22,9.99E-07
23,1.01E-06
24,1.04E-06
25,1.17E-06
26,1.21E-06
27,1.35E-06
28,1.36E-06
29,1.43E-06
30,1.41E-06
31,1.45E-06
32,1.50E-06
33,1.71E-06
34,1.83E-06
35,2.11E-06
36,2.00E-06
37,2.07E-06
38,2.22E-06
39,2.31E-06
40,2.28E-06
41,2.62E-06
42,2.87E-06
43,3.03E-06
44,2.96E-06
45,3.56E-06
46,3.24E-06
47,3.48E-06
48,3.52E-06
49,3.83E-06
50,4.10E-06
